Track name,artists
Love Bites,Def Leppard
Fear His Name,Overkill
Balls to the Wall,Accept
Dance the Night Away,Van Halen
Nothing Else Matters,Metallica
Hand Of Blood,Bullet For My Valentine
Down from the Sky,Trivium
Stricken,Disturbed
Love Hurts,Nazareth
"Die,Die My Darling"
Extreme Aggression,Kreator
Scream Aim Fire,Bullet For My Valentine
Wild Child,W.A.S.P.
Beggars Day,Nazareth
Start the Fire,Metal Church
I Am (I'm Me),Twisted Sister
Would? (2022 Remaster),Alice In Chains
Falling off the Edge of the World - Live from Radio City Music Hall,Heaven & Hell
Beyond the Black,Metal Church
Coma White,Marilyn Manson
Hail to the King,Avenged Sevenfold
Teenagers From Mars,Misfits
Jailbreak,Thin Lizzy
In My Dreams,Dokken
Wanted Man,Ratt
Iron Man - 2012 - Remaster,Black Sabbath
Sultan's Curse,Mastodon
Wild Flower,The Cult
Into the Now,Tesla
Suicide Solution,Ozzy Osbourne
The Phantom Of The Opera,Nightwish
Devoured by Vermin,Cannibal Corpse
Into the Pit,Testament
5 Minutes Alone,Pantera
The Last Act of Defiance,Exodus
Primo Victoria,Sabaton
Dawn Over A New World,DragonForce
Eagle Fly Free - 2024 Remaster,Helloween
Cherry Orchards,Celtic Frost
Got The Time,Anthrax
I Saw Your Mommy...,Suicidal Tendencies
The Pursuit Of Vikings,Amon Amarth
When the Crowds Are Gone,Savatage
Super Charger Heaven,White Zombie
Indians,Anthrax
Edie (Ciao Baby),The Cult
You Can't Bring Me Down,Suicidal Tendencies
Black Star,Yngwie Malmsteen
Prison Song,System Of A Down
Burn It Down,Five Finger Death Punch
Hallowed Be Thy Name,Iron Maiden
In This River,Black Label Society
Practice What You Preach,Testament
Sinner,Drowning Pool
Heavy Metal Thunder (2009 Remaster),Saxon
Too Fast for Love,Motley Crue
Beneath the Remains,Sepultura
Fast as a Shark,Accept
We Rock,Dio
Simple Man - Rock Version,Shinedown
Man On The Silver Mountain,Rainbow
Take Hold Of The Flame,Queensryche
Scent of Dark,Tony Iommi
Fallen,Volbeat
The Berserker at Stamford Bridge,Amon Amarth
Disciples of the Watch,Testament
Like Light to the Flies,Trivium
Sweet Child O' Mine,Guns N' Roses
Smoke on the Water,Deep Purple
Bully,Shinedown
Blacklist,Exodus
Ten Ton Hammer,Machine Head
Suite-Pee,System Of A Down
The Outsider,A Perfect Circle
Deliverance,Opeth
I Am Above,In Flames
Blind In Texas,W.A.S.P.
Belly Of The Beast,Anthrax
Demon Speeding,Rob Zombie
Midlife Crisis,Faith No More
Eruption,Van Halen
Bad Religion,Godsmack
Year Zero,Ghost
Revolution Is My Name,Pantera
War Pigs / Luke's Wall,Black Sabbath
Possessed,Venom
Hybrid Moments - C.I. Recording 1978,Misfits
The Heaviest Matter of the Universe,Gojira
Breaking the Law,Judas Priest
The Bard's Song - In the Forest - Remastered 2007,Blind Guardian
Warriors of the World United,Manowar
My Apocalypse,Arch Enemy
The Quiet Place,In Flames
Pet,A Perfect Circle
The Beautiful People,Marilyn Manson
Ballad of Dwight Fry,Alice Cooper
Bodom After Midnight,Children Of Bodom
The Number of the Beast,Iron Maiden
Soldiers,Drowning Pool
Wheels of Steel (1997 - Remaster),Saxon
Cut the Cord,Shinedown
Tornado Of Souls,Megadeth
Pull Harder on the Strings of Your Martyr,Trivium
You're in Love,Ratt
Love Gun,Kiss
Trilogy Suite Op: 5,Yngwie Malmsteen
One,Metallica
Wasp / Behind the Wall of Sleep / Bassically / N.I.B.,Black Sabbath
Melissa,Mercyful Fate
Through the Fire and Flames,DragonForce
Satan's Sword (I Have Become) (Live),Behemoth
Spiritwalker,The Cult
Queen Of The Reich - Remastered 2003,Queensryche
The Usurper,Celtic Frost
Twist Of Cain,Danzig
Dancing In The Moonlight (It's Caught Me In It's Spotlight),Thin Lizzy
Spit It Out,Slipknot
Bother,Stone Sour
Stupify,Disturbed
I Love the Night,Blue Oyster Cult
Princess of the Night,Saxon
The Trooper,Iron Maiden
Still of the Night - 2018 Remaster,Whitesnake
A Tout Le Monde - Remastered 2004,Megadeth
The Wake of Magellan,Savatage
In Due Time,Killswitch Engage
Expect No Mercy,Nazareth
Pledge Your Allegiance,Suicidal Tendencies
Conquer All,Behemoth
Tainted Love,Marilyn Manson
Rock Bottom - 2007 Remaster,UFO
Creep,Stone Temple Pilots
Tear Away,Drowning Pool
Jet City Woman,Queensryche
Low,Testament
The Last Journey Home,DragonForce
Rotten to the Core,Overkill
(Don't Fear) The Reaper,Blue Oyster Cult
Them Bones (2022 Remaster),Alice In Chains
Territory,Sepultura
Rock and Roll Angel,Heaven & Hell
Her Black Wings,Danzig
Black Metal,Venom
Painkiller,Judas Priest
Contractor,Lamb of God
Powerslave,Iron Maiden
Fade To Black,Metallica
Crazy Horse,Black Label Society
Under Your Scars,Godsmack
Indestructible,Disturbed
Sweet Soul Sister,The Cult
Power and the Glory - 1999 Remaster,Saxon
Dive! Dive! Dive!,Bruce Dickinson
Until the World Goes Cold,Trivium
Live Wire,Motley Crue
Runes To My Memory,Amon Amarth
Dead End,In Flames
Love to Love - 2008 Remaster,UFO
Patience,Guns N' Roses
Into the Coven,Mercyful Fate
Walk,Pantera
Lady Picture Show,Stone Temple Pilots
Cum On Feel the Noize - Re-Recorded,Quiet Riot
Detroit Rock City - 2012 Remix,Kiss
A Small Victory,Faith No More
Party All Night,Quiet Riot
I'm A Rebel,Accept
Colony of Birchmen,Mastodon
Crying in the Rain - 1987 Version; 2018 Remaster,Whitesnake
Creeping Death,Metallica
Black Sunshine,White Zombie
Foolin',Def Leppard
Pull Me Under,Dream Theater
Chainsaw Charlie(Murders In The New Morgue),W.A.S.P.
Blackout,Scorpions
Broken Down Angel,Nazareth
Electric Eye,Judas Priest
The Last in Line,Dio
Circle of the Tyrants,Celtic Frost
Powersurge,Overkill
The Last Fight,Bullet For My Valentine
Forever and One (Neverland),Helloween
You Can't Stop Rock 'N' Roll,Twisted Sister
Sixpounder,Children Of Bodom
Heaven and Hell - 2008 Remaster,Black Sabbath
Phantom of the Opera,Iron Maiden
30/30-150,Stone Sour
I Wanna Rock,Twisted Sister
Metal Church,Metal Church
Kaiowas,Sepultura
Through Glass,Stone Sour
Fool for Your Loving - 2019 Remaster,Whitesnake
Carolus Rex - English Version,Sabaton
Christine Sixteen,Kiss
Caught In A Mosh,Anthrax
Heaven and Hell,Black Sabbath
Bittersweet,Apocalyptica
Fear of the Dark,Iron Maiden
Dethroned Emperor,Celtic Frost
Amaranth,Nightwish
Coma of Souls,Kreator
S.M.F.,Twisted Sister
"Electric Head,Part 2 (The Ecstasy)"
Ov Fire And The Void,Behemoth
To Hell and Back,Sabaton
Dance,Ratt
Black Sabbath,Black Sabbath
Superbeast,Rob Zombie
Edgecrusher,Fear Factory
Long Live Rock N Roll,Rainbow
Spiders,System Of A Down
Emerald - Alternate Version,Thin Lizzy
Scene Seven: I. The Dance of Eternity,Dream Theater
Hell Bent for Leather,Judas Priest
Seek & Destroy,Metallica
Holy Diver,Dio
The Red & the Black,Blue Oyster Cult
Mother,Danzig
Jambi,TOOL
Over the Mountain,Ozzy Osbourne
Majesty - Remastered 2017,Blind Guardian
The Zoo,Scorpions
Lift Me Up,Five Finger Death Punch
Butchered at Birth,Cannibal Corpse
747 (Strangers In the Night) (1997 - Remaster),Saxon
E.T.I. (Extraterrestrial Intelligence) - Remastered,Blue Oyster Cult
Rational Gaze,Meshuggah
Epic,Faith No More
Locust,Machine Head
Awake,Godsmack
Strife,Trivium
Waking the Demon,Bullet For My Valentine
Guardians Of Asgaard,Amon Amarth
Sulfur,Slipknot
Too Late For Love,Def Leppard
Counting Bodies Like Sheep To The Rhythm Of The War Drums,A Perfect Circle
Terrible Certainty,Kreator
Angry Chair (2022 Remaster),Alice In Chains
How The Gods Kill,Danzig
Facing The Animal,Yngwie Malmsteen
Cape Of Our Hero,Volbeat
Piece of Me,Skid Row
Imperium,Machine Head
Demiurge,Meshuggah
I'm Eighteen,Alice Cooper
Schism,TOOL
Beth - 2012 Remix,Kiss
Shoot Shoot - 2007 Remaster,UFO
Alone Again,Dokken
Bonded by Blood,Exodus
Flying Whales,Gojira
Flag of Hate,Kreator
Rise and Fall - 2024 Remaster,Helloween
Lost Heaven,Black Label Society
Among The Living,Anthrax
Little Suzi,Tesla
The Satanist,Behemoth
Empire,Queensryche
Wrong Side of Heaven,Five Finger Death Punch
Kiss Of Death,Dokken
God Of Thunder - 2012 Remix,Kiss
Left Behind,Slipknot
Ghost Walking,Lamb of God
Absolution,Ghost
Stengah,Meshuggah
For Whom The Bell Tolls,Metallica
Flying High Again,Ozzy Osbourne
Sepulnation,Sepultura
Vasoline,Stone Temple Pilots
Bat Country,Avenged Sevenfold
Rocket Queen,Guns N' Roses
Beyond the Realms of Death,Judas Priest
Wish I Had an Angel,Nightwish
Make Them Suffer,Cannibal Corpse
Elvenpath - Remastered,Nightwish
Master Of Puppets,Metallica
A Tale That Wasn't Right - 2024 Remaster,Helloween
Dr. Feelgood,Motley Crue
Omerta,Lamb of God
Youth Gone Wild,Skid Row
Storytime,Nightwish
It’s Not Love (Re-Recorded / Remastered),Dokken
"Foxy,Foxy"
The Demon's Name Is Surveillance,Meshuggah
In My Darkest Hour - Remastered 2004,Megadeth
Overkill,Motörhead
"Never Gonna Stop (The Red,Red Kroovy)"
In Your Face,Children Of Bodom
Am I Demon,Danzig
Bible Black,Heaven & Hell
Badlands,Metal Church
Scream Until You Like It - Live,W.A.S.P.
Lil' Devil,The Cult
Stinkfist,TOOL
Sleeping Sun,Nightwish
Concrete Jungle,Black Label Society
Sign Of The Hammer,Manowar
Crack the Skye,Mastodon
Replica,Fear Factory
Wrecking Crew,Overkill
Run to the Hills,Iron Maiden
Hourglass,Lamb of God
Curse of the Pharaohs,Mercyful Fate
No More Tears,Ozzy Osbourne
Holy Diver,Killswitch Engage
Turbo Lover - Remastered,Judas Priest
Nuns Have No Fun,Mercyful Fate
Hail and Kill,Manowar
Feed The Gods,White Zombie
All Night Long,Rainbow
We Will Rise,Arch Enemy
Dark Side of My Heart,Accept
Heaven's Trail (No Way Out),Tesla
Enter Sandman,Metallica
Planet Hell,Nightwish
Hallowed Be Thy Name,Machine Head
Orgasmatron,Motörhead
Painkiller,Judas Priest
Metal Heart,Accept
Violent Revolution,Kreator
Damage Case,Motörhead
Demon Of The Fall,Opeth
The Oath,Mercyful Fate
The Boys Are Back In Town,Thin Lizzy
Ghost Love Score,Nightwish
The Final Solution,Sabaton
Turbo Lover - Remastered,Judas Priest
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
Made In Hell,Halford
Jack the Stripper / Fairies Wear Boots,Black Sabbath
Kings of Metal,Manowar
Scream,Avenged Sevenfold
Alone,Bullet For My Valentine
Scene Four: Beyond This Life,Dream Theater
Cowboy Song,Thin Lizzy
For Evigt,Volbeat
Enemy of God,Kreator
Phantom Antichrist,Kreator
My Sarah,Thin Lizzy
In the Name of God,Dream Theater
Heaven's Hung in Black,W.A.S.P.
Wild Side,Motley Crue
Rose of Sharyn,Killswitch Engage
Electric Crown,Testament
"Mama,I'm Coming Home"
Dead & Bloated - 2017 Remaster,Stone Temple Pilots
Coma,Overkill
Here I Go Again,Whitesnake
Lay It Down,Ratt
Lights Out - 2008 Remaster,UFO
Billion Dollar Babies - Live in Columbus,Alice Cooper
Black Funeral,Mercyful Fate
The Threat,Skid Row
Second Chance,Shinedown
Carry On,Manowar
Resurrection,Halford
Breaking The Chains,Dokken
Power of the Night,Savatage
Child in Time,Deep Purple
Cherry - 2008 Remaster,UFO
Falling to Pieces,Faith No More
She Sells Sanctuary,The Cult
The Devil's Bleeding Crown,Volbeat
Procreation (Of the Wicked),Celtic Frost
Slick Black Cadillac,Quiet Riot
The Dark,Metal Church
3 Libras,A Perfect Circle
The Moor (Remastered),Opeth
Jump,Van Halen
I Wanna Be Somebody,W.A.S.P.
Ironbound,Overkill
Dreaming (Tell Me),Yngwie Malmsteen
I'm Broken,Pantera
Dr. Stein - 2024 Remaster,Helloween
Edison's Medicine,Tesla
Cloud Connected,In Flames
Round and Round,Ratt
Refuse / Resist,Sepultura
From Out of Nowhere,Faith No More
War Eternal,Arch Enemy
Sour Girl,Stone Temple Pilots
Changin' Times,Nazareth
Sound of Madness,Shinedown
18 and Life,Skid Row
Voices,Disturbed
Atom and Evil,Heaven & Hell
Planet Zero,Shinedown
I'll Wait,Van Halen
If I Could Fly,Helloween
Tattoo Vampire,Blue Oyster Cult
Nothing Else Matters,Apocalyptica
Watch the Children Pray,Metal Church
No Bullets Fly,Sabaton
Join The Army,Suicidal Tendencies
Say You'll Haunt Me,Stone Sour
Rose,A Perfect Circle
Hot for Teacher,Van Halen
Panama,Van Halen
Hordes of Chaos (A Necrologue for the Elite),Kreator
I Don't Wanna Stop - Live,Ozzy Osbourne
Crucible (Remastered),Halford
No Excuses,Alice In Chains
Dig,Mudvayne
Sinful Love,Blue Oyster Cult
Don't Talk to Strangers,Dio
The Deeper the Love - 2019 Remaster,Whitesnake
Possessed To Skate,Suicidal Tendencies
By And Down The River,A Perfect Circle
We Care a Lot,Faith No More
Street Of Dreams,Rainbow
Everytime I Die,Children Of Bodom
I Don't Like The Drugs (But The Drugs Like Me),Marilyn Manson
Lunchbox,Marilyn Manson
We're Not Gonna Take It,Twisted Sister
Mean Man,W.A.S.P.
More Human Than Human,White Zombie
Blood of the Kings,Manowar
Stillborn,Black Label Society
Cyco Vision,Suicidal Tendencies
Under My Wheels - Live in Columbus,Alice Cooper
Evil,Mercyful Fate
The Drapery Falls,Opeth
Heaven Tonight,Yngwie Malmsteen
Sign of the Times - Re-Recorded,Quiet Riot
Send Me An Angel,Scorpions
Love Removal Machine,The Cult
Hammer Smashed Face,Cannibal Corpse
In Waves,Trivium
This Flight Tonight - 1991 Version,Nazareth
Dirty Black Summer,Danzig
Thunder Kiss '65,White Zombie
War Inside My Head,Suicidal Tendencies
Down In A Hole (2022 Remaster),Alice In Chains
Seize the Day,Avenged Sevenfold
Fabulous Disaster,Exodus
Vicarious,TOOL
Signs - Live At The Trocadero / 1990,Tesla
Institutionalized,Suicidal Tendencies
4 Words (To Choke Upon),Bullet For My Valentine
The Last Stand,Sabaton
Slave New World,Sepultura
Sweating Bullets,Megadeth
She - Reel Platinum 1985,Misfits
Slave to the Grind,Skid Row
Hello from the Gutter,Overkill
Square Hammer,Ghost
Photograph,Def Leppard
Wasted Years,Iron Maiden
Hang Tough,Tesla
Twilight Of The Thunder God,Amon Amarth
Step Up,Drowning Pool
Silenced,Mudvayne
Bleed,Meshuggah
Almost Easy,Avenged Sevenfold
Shout At The Devil '97,Motley Crue
Morbid Tales,Celtic Frost
Are You Dead Yet?,Children Of Bodom
March of the Fire Ants,Mastodon
Walk with Me In Hell,Lamb of God
Downfall,Children Of Bodom
Holy Wars...The Punishment Due,Megadeth
The End of Heartache,Killswitch Engage
Burning Like A Flame,Dokken
Body Talk,Ratt
War Is My Shepherd,Exodus
Rock 'n' Roll Children - 2016 Remaster,Dio
Dead Eyes See No Future,Arch Enemy
Believe,Savatage
Death in Fire,Amon Amarth
Midnight Mover,Accept
Duality,Slipknot
L'enfant sauvage,Gojira
Trigger,In Flames
Operation Mindcrime,Queensryche
Over The Hills And Far Away,Nightwish
If You Only Knew,Shinedown
Hate by Design,Killswitch Engage
In a Darkened Room,Skid Row
Stranded,Gojira
Last Cup of Sorrow - 2016 Remaster,Faith No More
Heaven's On Fire,Kiss
Judith,A Perfect Circle
Stargazer,Rainbow
Feel Like I Do,Drowning Pool
King for a Day,Faith No More
Horrorscope,Overkill
He Is,Ghost
Countess Bathory,Venom
Bad Bad Boy,Nazareth
More Human Than Human - Live,Rob Zombie
Scene Eight: The Spirit Carries On,Dream Theater
40:1,Sabaton
Over the Wall,Testament
Thunderbird,Quiet Riot
From This Day,Machine Head
This Is The New S**t,Marilyn Manson
Ænema,TOOL
Condition Critical,Quiet Riot
Follow The Reaper,Children Of Bodom
I Remember You,Skid Row
Wake Up Dead - 2004 Remaster,Megadeth
Accident of Birth - 2001 Remaster,Bruce Dickinson
Shock,Fear Factory
November Rain,Guns N' Roses
Psychosocial,Slipknot
Far From Home,Five Finger Death Punch
Nightmare,Avenged Sevenfold
Silvera,Gojira
Only,Anthrax
Straight Out Of Line,Godsmack
Deified,Tony Iommi
Tattooed Millionaire,Bruce Dickinson
Shout It Out Loud - 2012 Remix,Kiss
Suicide Messiah,Black Label Society
Inner Self,Sepultura
Witching Hour,Venom
Strong Arm of the Law (2009 Remaster),Saxon
My Curse,Killswitch Engage
Stormbringer,Deep Purple
Brothers Of Metal (Part 1),Manowar
Angels Don't Kill - Live in London,Children Of Bodom
Home Sweet Home,Motley Crue
And the Bands Played on,Saxon
The Wild And The Young,Quiet Riot
This Love,Pantera
Cemetery Gates,Pantera
Ratamahatta,Sepultura
Only for the Weak,In Flames
Heaven Beside You,Alice In Chains
Stand Up and Shout,Dio
You've Got Another Thing Coming,Judas Priest
Sober,TOOL
Shot in the Dark,Ozzy Osbourne
Toxic garbage island,Gojira
Dance Macabre,Ghost
Civil War,Guns N' Roses
Bleak,Opeth
As the Pages Burn,Arch Enemy
Voodoo,Godsmack
Peace Sells,Megadeth
Same Ol' Situation (S.O.S.),Motley Crue
Bismarck,Sabaton
Take This Life,In Flames
Blow Your Trumpets Gabriel,Behemoth
Tears Don't Fall,Bullet For My Valentine
Imaginations from the Other Side - Remastered 2007,Blind Guardian
Hangar 18,Megadeth
Again,Alice In Chains
The Way It Is,Tesla
Empire,Queensryche
A Lesson in Violence,Exodus
Path,Apocalyptica
"You Don't Remember,I'll Never Forget"
House of the Rising Sun,Five Finger Death Punch
Evisceration Plague,Cannibal Corpse
Holiday,Nazareth
Gutter Ballet,Savatage
Betrayer,Trivium
Domination,Pantera
Crusader,Saxon
The Devil's Rejects,Rob Zombie
Not Falling,Mudvayne
Betrayer,Kreator
Demigod,Behemoth
GET UP,Shinedown
The World Is Yours,Arch Enemy
Far Beyond The Sun,Yngwie Malmsteen
Welcome to Hell,Venom
Blood in Blood Out,Exodus
Love Ain't No Stranger,Whitesnake
The Human Factor,Metal Church
Chemical Wedding - 2001 Remaster,Bruce Dickinson
The Day You Died,Arch Enemy
From The Pinnacle To The Pit,Ghost
The Tower - 2001 Remaster,Bruce Dickinson
I Was Made For Lovin' You,Kiss
Metal Health (Bang Your Head),Quiet Riot
Ravenous,Arch Enemy
Too Hot to Handle - 2008 Remaster,UFO
The Needle Lies,Queensryche
Battle Hymn,Manowar
Back for More,Ratt
I Stand Alone,Godsmack
45,Shinedown
Rapid Fire,Judas Priest
The Years of Decay,Overkill
Cold Gin,Kiss
Light Comes Out Of Black,Rob Halford
Space Truckin',Deep Purple
Battery,Metallica
Halloween - 2024 Remaster,Helloween
2 Minutes to Midnight,Iron Maiden
Rosalie,Thin Lizzy
Cryin' Like A Bitch!!,Godsmack
Darkside of Aquarius - 2001 Remaster,Bruce Dickinson
Warrior,Disturbed
Restless and Wild,Accept
Windowpane,Opeth
New Millennium Cyanide Christ,Meshuggah
Visual Aggression,Celtic Frost
The Witch - Edit,The Cult
Kickstart My Heart,Motley Crue
School's Out,Alice Cooper
The Preacher,Testament
Leader of the Pack,Twisted Sister
Wind Of Change,Scorpions
Interstate Love Song,Stone Temple Pilots
Forty Six & 2,TOOL
Another Day,Dream Theater
How Did You Love,Shinedown
Space Child - 2007 Remaster,UFO
Deny the Cross,Overkill
Keep Away,Godsmack
Lateralus,TOOL
Halo of Flies,Alice Cooper
Hall of the Mountain King,Savatage
Slaves Shall Serve,Behemoth
Paranoid,Black Sabbath
Paradise City,Guns N' Roses
Sabbath Bloody Sabbath,Black Sabbath
Estranged,Guns N' Roses
Starlight,Accept
Before I Forget,Slipknot
The Way of Vikings,Amon Amarth
Dream Warriors,Dokken
Madhouse,Anthrax
The Devil Cried - Live from Radio City Music Hall,Heaven & Hell
Runnin' with the Devil,Van Halen
Let's Get Rocked,Def Leppard
Prime Evil,Venom
Snuff,Slipknot
Bomber,Motörhead
Perfect Strangers,Deep Purple
Fire Woman,The Cult
Now We Die,Machine Head
Still Loving You,Scorpions
Wash It All Away,Five Finger Death Punch
Stay Hungry,Twisted Sister
Rain,The Cult
Under and Over It,Five Finger Death Punch
Wait and Bleed,Slipknot
Your Betrayal,Bullet For My Valentine
The Hunter,Danzig
Aesthetics Of Hate,Machine Head
Pity,Drowning Pool
Doctor Doctor - 2007 Remaster,UFO
Slow an' Easy,Whitesnake
Ten Thousand Fists,Disturbed
Fixation on the Darkness,Killswitch Engage
Cars - Remix,Fear Factory
Harvest,Opeth
Modern Day Cowboy,Tesla
Teutonic Terror,Accept
Living Dead Girl,Rob Zombie
Deceiver of the Gods,Amon Amarth
A Warrior's Call,Volbeat
The Bleeding,Five Finger Death Punch
Unchained,Van Halen
"Stripped,Raped
Laid to Rest,Lamb of God
Attitude,Sepultura
"Bloodlust (7"" Version)",Venom
The Hunter,Dokken
Lost in the Twilight Hall - Remastered 2007,Blind Guardian
Kill The King,Rainbow
Feel So Numb,Rob Zombie
The Heart from Your Hate,Trivium
Poison,Alice Cooper
SECULAR HAZE,Ghost
Only You Can Rock Me - 2008 Remaster,UFO
The Temple Of The King,Rainbow
Linchpin,Fear Factory
Blood for Blood,Machine Head
Blood and Thunder,Mastodon
"Girls,Girls
The Mirror's Truth,In Flames
Fear,Heaven & Hell
Death Blooms,Mudvayne
Sleepless Nights,King Diamond
